process_corner,supply_v,temperature_c,gain_100mhz_db,gain_1p25ghz_db,gain_2p5ghz_db,gain_5ghz_db,peak_gain_db,peak_frequency_hz,peaking_db,boost_2p5ghz_db,response_class,runtime_s
tt,1.71,0.0,4.906029016139495,12.033412791030328,11.627018743849808,9.36127047989701,12.07913188416369,1481696729.862903,7.173102868024195,6.720989727710313,local_peak,0.31689230003394186
tt,1.71,27.0,4.769238775560606,11.728565057158496,11.278357504692375,8.966210956630551,11.763567589831254,1447961208.380014,6.994328814270649,6.509118729131769,local_peak,0.281706599984318
tt,1.71,125.0,4.37887089192273,10.883454382629685,10.312377471442757,7.86678602416237,10.896503923221594,1382776965.432072,6.517633031298864,5.933506579520026,local_peak,0.2702465999755077
tt,1.8,0.0,4.993965570122814,12.195622061974417,11.785773048301987,9.495249145280678,12.243034746681303,1481696729.862903,7.249069176558489,6.791807478179173,local_peak,0.2652928000316024
tt,1.8,27.0,4.860652870680577,11.894974336935514,11.440368346923528,9.102589556511317,11.931356972627096,1447961208.380014,7.070704101946519,6.57971547624295,local_peak,0.40725640003802255
tt,1.8,125.0,4.483392604425792,11.067360539128076,10.488308512846174,8.012572821209426,11.081114030531891,1382776965.432072,6.597721426106099,6.004915908420382,local_peak,0.26047849998576567
tt,1.89,0.0,5.073469227148322,12.342731484287611,11.930639024212539,9.619197239781164,12.391852689225406,1481696729.862903,7.318383462077084,6.857169797064217,local_peak,0.2606066000298597
tt,1.89,27.0,4.942239055669924,12.043909508752437,11.586302765477953,9.227228971604116,12.081679735959694,1447961208.380014,7.139440680289771,6.644063709808029,local_peak,0.26714090001769364
tt,1.89,125.0,4.572032802755799,11.223661040945133,10.638900492638196,8.139451981972805,11.238125432580393,1382776965.432072,6.666092629824594,6.066867689882398,local_peak,0.2612989000044763
ss,1.71,0.0,4.944536704798205,12.174257960054002,11.604510599621513,9.012610370566975,12.201982701615343,1414993782.949972,7.257445996817138,6.659973894823308,local_peak,0.262636500003282
ss,1.71,27.0,4.788804971390512,11.818246573543085,11.201951699469713,8.571828101010164,11.8370342446437,1382776965.432072,7.048229273253188,6.413146728079202,local_peak,0.2729968999628909
ss,1.71,125.0,4.339057002694332,10.828629977670337,10.091452944300427,7.359253656106205,10.83213467331689,1320527183.368927,6.493077670622558,5.752395941606094,local_peak,0.2842176999547519
ss,1.8,0.0,5.008542699744603,12.295183829500282,11.722469917537392,9.112756844163647,12.323964168843464,1414993782.949972,7.315421469098861,6.713927217792789,local_peak,0.28908890002639964
ss,1.8,27.0,4.8567451364551015,11.94457332724589,11.324355356184597,8.675318011142565,11.964166210983386,1382776965.432072,7.107421074528284,6.467610219729496,local_peak,0.2683027000166476
ss,1.8,125.0,4.42382594889824,10.980196052065573,10.235665062269323,7.4795314701720335,10.984047710753282,1320527183.368927,6.5602217618550425,5.811839113371083,local_peak,0.2690306000295095
ss,1.89,0.0,5.064255856195657,12.40017059649182,11.825702878634317,9.201923082980437,12.429965868140842,1414993782.949972,7.365710011945185,6.76144702243866,local_peak,0.28481270000338554
ss,1.89,27.0,4.915209033340782,12.053061212681857,11.430380190373302,8.7666287185932,12.073432582620141,1382776965.432072,7.158223549279359,6.515171157032521,local_peak,0.26189319998957217
ss,1.89,125.0,4.493944146137649,11.105743289804733,10.356362511525527,7.582424780659813,11.109947048852536,1320527183.368927,6.616002902714888,5.862418365387878,local_peak,0.273339000006672
ff,1.71,0.0,4.766381677545783,11.665867834991106,11.430237533961826,9.58249728394717,11.733912463492848,1551544060.292201,6.967530785947065,6.663855856416043,local_peak,0.26769909996073693
ff,1.71,27.0,4.651272011572654,11.42002204953646,11.1465970420493,9.246917764379573,11.476643895364184,1551544060.292201,6.82537188379153,6.495325030476647,local_peak,0.2959856000379659
ff,1.71,125.0,4.283932699238786,10.655444466125637,10.2644089643605,8.20050333990534,10.683792820996615,1447961208.380014,6.399860121757829,5.980476265121714,local_peak,0.2937769000418484
ff,1.8,0.0,4.914332400467493,11.934253900402464,11.696578495504053,9.81243991876055,12.005924553103595,1587692920.962437,7.091592152636102,6.78224609503656,local_peak,0.29969050001818687
ff,1.8,27.0,4.798048826784957,11.682602483469577,11.405636020292865,9.469049151697302,11.742227405229253,1551544060.292201,6.944178578444296,6.607587193507909,local_peak,0.292511600011494
ff,1.8,125.0,4.424485455083393,10.895627672915042,10.495801548821126,8.392063181009707,10.925133597903647,1447961208.380014,6.500648142820254,6.071316093737733,local_peak,0.2845771999564022
ff,1.89,0.0,5.053216372278575,12.189555295572152,11.951367967089892,10.03478497080636,12.26525811670272,1587692920.962437,7.212041744424145,6.898151594811317,local_peak,0.2976398999453522
ff,1.89,27.0,4.934360412037214,11.9294239579826,11.650440805061365,9.681230406423573,11.992271967331448,1551544060.292201,7.0579115552942335,6.716080393024151,local_peak,0.2933172000339255
ff,1.89,125.0,4.548615732147882,11.109113355696476,10.702346122047492,8.564822581846741,11.139817498390416,1447961208.380014,6.591201766242534,6.153730389899611,local_peak,0.2893873000284657
